nplv,t вып-обр,t обработка,t под током,t продувка,ПСН гр.,чист расход C,чист расход Cr,чист расход Mn,чист расход Si,чист расход V,температура первая,температура последняя,Ar (интенс.),эл. энергия (интенс.),произв жидкая сталь,произв количество обработок,расход газ Ar,сыпуч известь РП,сыпуч кокс пыль УСТК,сыпуч  кокс. мелочь КМ1,сыпуч  шпат плав.,ферспл CaC2,ферспл  FeV-80,ферспл  Mn5Si65Al0.5,ферспл SiMn18,ферспл  фх850А,эл. энергия,химсталь первый Al_1,химсталь первый C_1,химсталь первый Cr_1,химсталь первый Cu_1,химсталь первый Mn_1,химсталь первый Mo_1,химсталь первый N_1,химсталь первый Ni_1,химсталь первый P_1,химсталь первый S_1,химсталь первый Si_1,химсталь первый Ti_1,химсталь первый V_1,химсталь последний Al,химсталь последний C,химсталь последний Ca,химсталь последний Cr,химсталь последний Cu,химсталь последний Mn,химсталь последний Mo,химсталь последний N,химсталь последний Ni,химсталь последний P,химсталь последний S,химсталь последний Si,химсталь последний Ti,химсталь последний V,химшлак первый Al2O3_1,химшлак первый CaO_1,химшлак первый FeO_1,химшлак первый MgO_1,химшлак первый MnO_1,химшлак первый R_1,химшлак первый SiO2_1,химшлак последний Al2O3,химшлак последний CaO,химшлак последний FeO,химшлак последний MgO,химшлак последний MnO,химшлак последний R,химшлак последний SiO2
г683863<;?:,21.0,47.8833333,22.0166667,47.8833333,3.4469987,0.41977,0.150884,0.2124376,0.158096,0.0419024,1568.0,1580.0,19.8022756,13792.2785768,115.8,1.0,26.106,0.255,0.05,0.439,0.075,0.02,0.052807,0.164,0.32,0.268,5061.0,0.001,0.435,0.292,0.118,0.592,0.007,0.01,0.076,0.006,0.026,0.414,0.001,0.001,0.003,0.773,0.0011,0.417,0.118,0.776,0.006,0.012,0.077,0.008,0.016,0.554,0.003,0.038,,58.2,0.2,10.7,0.14,2.3,,,46.1,0.5,7.4,0.13,2.1,
г683863<;?;,26.0,41.0166667,23.3166667,41.0166667,2.7540984,0.46038,0.099088,0.1267864,0.125184,0.0415001,1573.0,1602.0,16.7602601,13954.8248749,114.0,1.0,22.915,0.215,0.05,0.502,0.074,0.02,0.0523,0.146,0.19,0.176,5423.0,0.002,0.415,0.336,0.132,0.674,0.007,0.008,0.076,0.01,0.026,0.45,0.002,0.002,0.003,0.752,0.0004,0.417,0.129,0.783,0.006,0.011,0.075,0.011,0.02,0.555,0.003,0.039,,55.4,0.6,12.1,0.15,2.3,,,57.2,0.5,9.6,0.12,2.2,
г683863<;?<,26.0,40.6833333,18.0166667,40.6833333,3.6977092,0.32217,0.07882,0.077364,0.1058,0.0381134,1552.0,1588.0,11.4820975,14043.6632747,106.2,1.0,15.571,0.16,0.05,0.337,0.074,0.02,0.048032,0.135,0.115,0.14,4217.0,0.002,0.504,0.349,0.128,0.72,0.007,0.01,0.084,0.011,0.026,0.48,0.002,0.002,0.003,0.769,0.0005,0.42,0.13,0.795,0.007,0.011,0.084,0.012,0.019,0.564,0.003,0.037,,47.4,1.3,11.6,0.23,2.1,,,56.1,0.7,10.5,0.12,2.5,
г683863<;?=,23.0,43.05,24.2166667,43.05,2.8209524,0.381975,0.135683,0.1495532,0.151368,0.0421888,1541.0,1580.0,8.3108014,14127.4604267,116.5,1.0,11.926,0.113,0.127,0.331,0.059,0.02,0.053168,0.178,0.224,0.241,5702.0,0.002,0.475,0.303,0.115,0.655,0.007,0.01,0.086,0.008,0.023,0.441,0.002,0.003,0.003,0.769,0.0003,0.422,0.115,0.789,0.006,0.013,0.083,0.009,0.021,0.572,0.004,0.038,,50.9,0.6,7.7,0.15,2.5,,,58.9,0.9,5.7,0.09,2.6,
г683863<;?>,18.0,40.35,16.4333333,40.35,3.0,0.40266,0.13512,0.1813706,0.172764,0.0412136,1582.0,1576.0,8.736803,13969.168357,113.8,1.0,11.751,,0.05,0.422,0.047,0.02,0.051939,0.199,0.272,0.24,3826.0,0.001,0.483,0.306,0.115,0.636,0.006,0.011,0.07,0.007,0.025,0.422,0.002,0.002,0.003,0.764,0.0002,0.42,0.113,0.795,0.006,0.013,0.071,0.008,0.021,0.579,0.004,0.039,,57.6,0.8,9.1,0.14,2.4,,,58.4,0.3,7.1,0.1,2.2,
г683863<;??,10.0,40.4833333,15.7,40.4833333,3.622012,0.3098,0.083324,0.1015922,0.139396,0.0404955,1575.0,1585.0,20.3550432,13838.2165605,115.6,1.0,27.468,0.11,0.05,0.32,0.058,0.02,0.051034,0.178,0.151,0.148,3621.0,0.002,0.53,0.349,0.116,0.697,0.008,0.012,0.078,0.013,0.023,0.441,0.002,0.003,0.004,0.76,0.0003,0.413,0.11,0.777,0.007,0.014,0.076,0.013,0.016,0.553,0.003,0.038,,57.4,0.5,9.6,0.14,2.5,,,58.8,0.5,10.2,0.14,2.2,
г683863<<66,6.0,41.0333333,16.65,41.0333333,3.0133215,0.317955,0.071501,0.1082698,0.114796,0.0398361,1587.0,1589.0,16.0457352,13055.8558559,113.8,1.0,21.947,,0.05,0.332,0.059,0.02,0.050203,0.137,0.162,0.127,3623.0,0.002,0.516,0.358,0.115,0.692,0.008,0.011,0.084,0.013,0.022,0.454,0.002,0.003,0.003,0.774,0.0003,0.422,0.115,0.795,0.007,0.012,0.084,0.014,0.02,0.56,0.004,0.038,,59.2,0.5,11.3,0.11,2.8,,,56.1,0.9,8.8,0.11,2.5,
г683863<<67,7.0,41.2166667,18.5,41.2166667,3.6867554,0.29595,0.06756,0.0697886,0.087252,0.0388022,1571.0,1587.0,8.2168217,14234.5945946,111.2,1.0,11.289,0.083,0.05,0.307,0.084,0.02,0.0489,0.109,0.104,0.12,4389.0,0.002,0.53,0.36,0.108,0.721,0.008,0.012,0.084,0.012,0.022,0.483,0.002,0.003,0.003,0.772,0.0006,0.418,0.11,0.78,0.008,0.012,0.084,0.014,0.02,0.563,0.004,0.038,,59.7,0.6,10.0,0.12,2.8,,,59.3,0.5,7.3,0.09,2.6,
г683863<<69,15.0,42.6833333,23.8166667,42.6833333,3.0,0.33216,0.120482,0.1461854,0.16559,0.039606,1560.0,1606.0,12.2408434,14427.7116865,112.9,1.0,17.416,0.045,0.05,0.339,0.084,0.02,0.049913,0.201,0.219,0.214,5727.0,0.001,0.476,0.314,0.11,0.65,0.008,0.012,0.078,0.008,0.028,0.425,0.001,0.003,0.003,0.765,0.0003,0.417,0.108,0.791,0.007,0.013,0.078,0.01,0.018,0.565,0.004,0.039,,44.5,0.6,10.1,0.1,2.2,,,59.3,0.6,7.6,0.14,2.3,
г683863<<6:,9.0,42.4,17.2166667,42.4,3.0,0.370745,0.098525,0.139537,0.172572,0.0404098,1594.0,1600.0,18.2077605,13180.2516941,115.1,1.0,25.678,,0.05,0.391,0.059,0.02,0.050926,0.215,0.208,0.175,3782.0,0.002,0.466,0.335,0.107,0.662,0.008,0.01,0.078,0.009,0.021,0.417,0.001,0.002,0.003,0.768,0.0003,0.42,0.107,0.792,0.007,0.011,0.078,0.011,0.016,0.567,0.003,0.037,,55.5,0.5,11.6,0.14,2.4,,,59.8,0.4,8.3,0.11,2.3,
г683863<<6;,13.0,42.8666667,20.2,42.8666667,2.5517241,0.34636,0.076568,0.0583512,0.102976,0.0404379,1572.0,1599.0,11.3710731,13422.7722772,113.4,1.0,16.248,,0.05,0.368,0.06,0.02,0.051071,0.138,0.086,0.136,4519.0,0.002,0.501,0.356,0.116,0.743,0.007,0.011,0.089,0.014,0.024,0.47,0.002,0.003,0.003,0.772,0.0003,0.419,0.115,0.794,0.007,0.012,0.088,0.015,0.019,0.561,0.004,0.039,,61.0,0.4,12.7,0.16,2.6,,,61.7,0.4,11.8,0.15,2.7,
г683863<<6<,3.0,45.3833333,23.0333333,45.3833333,3.5244821,0.27079,0.115978,0.1480248,0.140736,0.0390194,1590.0,1638.0,7.0006008,13920.6946454,107.6,1.0,10.357,,0.05,0.264,0.037,0.02,0.049298,0.162,0.222,0.206,5344.0,0.001,0.563,0.318,0.096,0.661,0.007,0.011,0.077,0.008,0.023,0.445,0.001,0.002,0.003,0.754,0.0004,0.411,0.101,0.79,0.008,0.01,0.082,0.008,0.014,0.573,0.003,0.04,,59.4,0.5,10.4,0.13,2.6,,,51.1,0.6,4.6,0.1,2.4,
г683863<<6=,3.0,48.6833333,20.8,48.6833333,2.8646253,0.43017,0.117199,0.19026,0.19164,0.0434573,1603.0,1603.0,9.1184169,13433.6538462,118.0,1.0,14.592,0.059,0.05,0.459,0.034,0.02,0.054905,0.225,0.285,0.208,4657.0,0.002,0.455,0.321,0.107,0.638,0.006,0.009,0.072,0.008,0.021,0.404,0.001,0.002,0.003,0.777,0.0004,0.414,0.107,0.786,0.006,0.012,0.072,0.009,0.017,0.537,0.003,0.039,,60.0,0.5,9.3,0.13,2.5,,,57.8,1.0,6.2,0.13,2.2,
г683863<<6>,5.0,45.5166667,22.6666667,45.5166667,3.4978397,0.357305,0.141319,0.1235952,0.128872,0.0412815,1582.0,1607.0,10.1523774,13566.1764706,115.0,1.0,15.065,,0.05,0.367,0.055,0.02,0.052156,0.153,0.185,0.251,5125.0,0.002,0.512,0.302,0.091,0.688,0.005,0.011,0.063,0.008,0.02,0.454,0.003,0.002,0.003,0.774,0.0002,0.418,0.091,0.788,0.005,0.012,0.064,0.009,0.014,0.551,0.003,0.038,,60.2,0.6,12.7,0.12,2.4,,,58.5,0.8,8.0,0.15,2.2,
г683863<<6?,5.0,51.05,16.35,51.05,2.5284281,0.42365,0.126112,0.0902758,0.129524,0.040995,1617.0,1606.0,7.3543029,13750.4587156,113.0,1.0,12.249,,0.05,0.453,0.077,0.02,0.051794,0.167,0.134,0.224,3747.0,0.002,0.447,0.312,0.072,0.719,0.004,0.01,0.05,0.013,0.02,0.45,0.002,0.002,0.003,0.769,0.0005,0.419,0.071,0.801,0.003,0.012,0.05,0.014,0.016,0.57,0.004,0.039,,62.0,1.4,12.1,0.28,2.9,,,55.8,0.8,8.0,0.15,2.5,
г683863<<76,9.0,46.9,17.1333333,46.9,,0.459915,0.164959,0.1847494,0.178092,0.0430275,1596.0,1596.0,6.7803558,13612.0622568,117.6,1.0,10.163,,0.05,0.487,0.065,0.02,0.054362,0.206,0.277,0.293,3887.0,0.002,0.407,0.285,0.095,0.64,0.006,0.01,0.061,0.008,0.021,0.415,0.001,0.002,0.003,0.773,0.0005,0.419,0.095,0.796,0.005,0.013,0.062,0.009,0.018,0.576,0.004,0.039,,60.0,0.4,6.8,0.08,2.3,,,57.3,0.4,11.6,0.18,2.2,
г683863<<77,17.0,42.2,19.8333333,42.2,3.330013,0.383235,0.132305,0.1418304,0.125736,0.0404227,1567.0,1595.0,8.821564,13825.210084,111.4,1.0,12.409,,0.05,0.4,0.034,0.02,0.051071,0.141,0.213,0.235,4570.0,0.002,0.467,0.304,0.128,0.668,0.009,0.01,0.094,0.008,0.021,0.452,0.002,0.002,0.003,0.756,0.0005,0.417,0.126,0.795,0.009,0.011,0.093,0.008,0.019,0.568,0.004,0.039,,59.6,0.4,11.4,0.12,2.5,,,51.4,0.5,7.0,0.1,2.4,
г683863<<78,9.0,46.5333333,22.35,46.5333333,2.9361111,0.447475,0.108659,0.2143952,0.157944,0.042741,1573.0,1595.0,8.3698525,13213.4228188,117.3,1.0,12.771,,0.05,0.481,0.048,0.02,0.054,0.163,0.323,0.193,4922.0,0.002,0.427,0.334,0.1,0.615,0.006,0.012,0.075,0.006,0.022,0.424,0.002,0.002,0.003,0.766,0.0001,0.422,0.1,0.794,0.005,0.013,0.075,0.008,0.019,0.563,0.004,0.039,,59.4,0.4,7.5,0.09,2.4,,,52.3,0.3,5.9,0.08,2.5,
г683863<<79,9.0,45.2,19.2333333,45.2,2.3302292,0.34977,0.096836,0.0434948,0.11144,0.0399644,1580.0,1596.0,10.3409031,13083.5355286,113.0,1.0,15.204,,0.05,0.369,0.032,0.02,0.050492,0.157,0.063,0.172,4194.0,0.002,0.513,0.342,0.119,0.764,0.008,0.01,0.075,0.013,0.022,0.468,0.002,0.003,0.004,0.786,0.0007,0.42,0.116,0.795,0.008,0.011,0.075,0.013,0.02,0.563,0.004,0.038,,62.0,0.6,10.8,0.1,2.7,,,59.5,0.6,8.8,0.09,2.6,
г683863<<7:,8.0,51.7166667,26.1666667,51.7166667,3.6618705,0.414135,0.130053,0.1335846,0.10638,0.0406799,1547.0,1597.0,13.5818993,13955.1592357,112.5,1.0,22.844,,0.132,0.368,0.075,0.02,0.051396,0.114,0.201,0.231,6086.0,0.002,0.454,0.31,0.091,0.68,0.006,0.01,0.063,0.007,0.021,0.459,0.002,0.003,0.005,0.763,0.0006,0.421,0.09,0.799,0.006,0.013,0.063,0.009,0.017,0.58,0.005,0.039,,67.2,0.4,6.8,0.12,3.2,,,59.3,0.9,9.1,0.14,2.6,
г683863<<7;,16.0,45.5166667,17.7166667,45.5166667,3.3043194,0.346035,0.085013,0.0594906,0.126324,0.041367,1581.0,1586.0,8.2281948,13644.7789276,115.3,1.0,12.484,,0.05,0.366,0.063,0.02,0.052264,0.174,0.087,0.151,4029.0,0.002,0.499,0.351,0.097,0.75,0.006,0.009,0.065,0.012,0.019,0.456,0.002,0.003,0.003,0.764,0.0004,0.419,0.096,0.798,0.006,0.011,0.065,0.013,0.015,0.575,0.004,0.038,,63.0,0.5,7.7,0.08,2.8,,,57.0,1.0,10.8,0.19,2.2,
г683863<<7<,13.0,43.05,16.3666667,43.05,2.38125,0.410095,0.109785,0.1250164,0.134352,0.0397064,1598.0,1590.0,9.2097561,13461.5071283,109.8,1.0,13.216,0.092,0.05,0.438,0.037,0.02,0.050166,0.161,0.187,0.195,3672.0,0.002,0.452,0.324,0.122,0.686,0.007,0.01,0.071,0.008,0.022,0.441,0.002,0.002,0.003,0.769,0.0002,0.414,0.119,0.785,0.006,0.012,0.071,0.009,0.015,0.545,0.003,0.037,,54.6,0.7,13.2,0.36,2.2,,,52.3,0.6,13.4,0.34,2.1,
г683863<<7=,4.0,57.8833333,23.6166667,57.8833333,3.0,0.447665,0.124423,0.22244,0.16764,0.0431708,1595.0,1588.0,9.4905699,12974.7353564,118.0,1.0,17.808,,0.05,0.478,0.048,0.03,0.054543,0.175,0.335,0.221,5107.0,0.001,0.434,0.315,0.117,0.61,0.007,0.011,0.074,0.007,0.033,0.429,0.001,0.002,0.003,0.787,0.0003,0.412,0.115,0.787,0.005,0.012,0.075,0.008,0.024,0.569,0.003,0.037,,47.5,0.4,7.3,0.12,2.7,,,58.1,0.6,6.8,0.14,2.2,
г683863<<7>,18.0,44.8333333,19.1333333,44.0333333,2.6191384,0.47194,0.145254,0.1988814,0.197636,0.0418537,1605.0,1597.0,8.5345538,13308.7108014,115.9,1.0,12.432,0.092,0.05,0.505,0.037,0.02,0.052879,0.231,0.298,0.258,4244.0,0.001,0.431,0.295,0.085,0.611,0.006,0.012,0.061,0.007,0.022,0.391,0.001,0.002,0.003,0.758,0.0002,0.411,0.085,0.779,0.005,0.012,0.062,0.008,0.016,0.567,0.003,0.037,,49.6,1.1,22.7,0.66,2.0,,,60.5,0.5,8.0,0.13,2.3,
г683863<<7?,9.0,42.1833333,17.3,42.1833333,2.0,0.4308833,0.149758,0.1947522,0.156244,0.0403079,1595.0,1594.0,8.2091663,13321.3872832,113.4,1.0,11.543,,0.05,0.432,,0.02,0.050926,0.168,0.293,0.266,3841.0,0.001,0.406,0.291,0.112,0.618,0.007,0.01,0.071,0.007,0.025,0.42,0.001,0.002,0.003,0.774,0.0002,0.411,0.11,0.782,0.006,0.011,0.071,0.007,0.022,0.566,0.004,0.011,,56.8,0.4,13.3,0.13,2.4,,,58.0,0.4,10.7,0.11,2.4,
г683863<<86,10.0,39.8666667,16.6833333,39.8666667,2.5185185,0.3844256,0.121608,0.1854898,0.148436,0.0411382,1595.0,1596.0,7.4957358,13137.6623377,115.6,1.0,9.961,,0.05,0.387,0.068,0.02,0.051975,0.158,0.279,0.216,3653.0,0.002,0.444,0.311,0.094,0.634,0.007,0.01,0.063,0.007,0.021,0.437,0.002,0.002,0.003,0.764,0.0002,0.41,0.094,0.788,0.006,0.011,0.064,0.008,0.016,0.563,0.004,0.036,,62.0,1.1,11.6,0.09,2.8,,,54.8,0.5,5.5,0.08,2.5,
г683863<<87,10.0,48.2166667,24.5833333,48.2166667,2.705857,0.349595,0.111887,0.127727,0.135644,0.0398497,1567.0,1590.0,7.8658268,13428.6101695,111.4,1.0,12.487,0.117,0.05,0.363,0.061,0.02,0.050347,0.16,0.191,0.197,5502.0,0.002,0.494,0.322,0.087,0.672,0.005,0.009,0.06,0.007,0.021,0.451,0.002,0.002,0.003,0.778,0.0003,0.413,0.086,0.779,0.004,0.01,0.06,0.008,0.016,0.569,0.004,0.038,,56.4,0.5,11.3,0.17,2.4,,,51.2,0.5,12.1,0.17,2.3,
г683863<<88,13.0,44.5333333,24.8333333,44.5333333,2.5853862,0.40871,0.122194,0.132619,0.120004,0.04194,1550.0,1594.0,9.2531651,13092.885906,117.1,1.0,12.628,,0.05,0.434,0.071,0.02,0.052988,0.134,0.199,0.214,5419.0,0.002,0.474,0.32,0.096,0.681,0.006,0.008,0.063,0.008,0.024,0.446,0.002,0.002,0.003,0.785,0.0002,0.415,0.095,0.788,0.006,0.009,0.063,0.009,0.019,0.556,0.004,0.038,,58.9,0.6,9.0,0.09,2.6,,,62.2,0.7,3.2,0.08,2.8,
г683863<<89,12.0,41.6666667,24.3166667,41.6666667,2.7109856,0.40509,0.103922,0.156859,0.153292,0.0405367,1576.0,1592.0,11.1888,12421.1103496,116.1,1.0,15.54,,0.05,0.432,0.075,0.02,0.051215,0.176,0.235,0.182,5034.0,0.002,0.439,0.333,0.093,0.669,0.006,0.009,0.065,0.007,0.022,0.438,0.002,0.003,0.002,0.787,0.0001,0.414,0.091,0.792,0.005,0.011,0.065,0.008,0.018,0.565,0.003,0.037,,34.2,1.1,3.7,0.11,2.3,,,58.2,0.5,8.2,0.1,2.2,
г683863<<8:,11.0,46.1833333,25.4666667,46.0166667,2.7650194,0.30959,0.067378,0.122465,0.132946,0.0385619,1565.0,1590.0,6.7643743,12885.078534,114.4,1.0,10.0,,0.05,0.322,0.083,0.02,0.04872,0.154,0.187,0.118,5469.0,0.002,0.501,0.362,0.115,0.699,0.01,0.008,0.082,0.013,0.026,0.464,0.002,0.003,0.003,0.794,0.0002,0.416,0.114,0.803,0.009,0.01,0.082,0.013,0.019,0.574,0.004,0.037,,45.5,0.8,9.2,0.13,2.5,,,58.5,0.3,7.7,0.08,2.3,
г683863<<8;,14.0,46.35,21.6666667,46.35,2.0,0.353385,0.091931,0.111046,0.148239,0.0415102,1601.0,1598.0,7.6524272,13416.9230769,116.5,1.0,11.823,0.063,0.05,0.372,0.098,0.02,0.052445,0.182,0.169,0.161,4845.0,0.002,0.509,0.34,0.094,0.693,0.006,0.01,0.064,0.011,0.022,0.438,0.002,0.003,0.003,0.775,0.0002,0.411,0.093,0.784,0.005,0.009,0.064,0.011,0.016,0.561,0.003,0.038,,56.3,0.3,12.5,0.15,2.2,,,57.6,0.5,8.1,0.14,2.2,
г683863<<8<,11.0,42.2,21.5166667,42.2,2.6787641,0.358765,0.072517,0.090824,0.157635,0.0396494,1622.0,1640.0,8.1014504,13234.3919442,110.5,1.0,11.171,0.175,0.05,0.383,0.101,0.02,0.050094,0.205,0.137,0.127,4746.0,0.002,0.494,0.354,0.086,0.718,0.006,0.007,0.053,0.015,0.022,0.429,0.001,0.002,0.004,0.764,0.0007,0.415,0.083,0.805,0.005,0.009,0.052,0.015,0.013,0.585,0.004,0.039,,54.0,0.9,11.5,0.3,2.1,,,59.5,0.9,6.3,0.09,2.3,
г683863<<8=,10.0,45.55,26.55,45.55,2.4401781,0.4020369,0.109061,0.107474,0.160229,0.0412815,1597.0,1613.0,7.1104281,12836.1581921,118.5,1.0,10.796,,0.05,0.373,0.099,0.02,0.052156,0.202,0.163,0.191,5680.0,0.002,0.456,0.331,0.092,0.708,0.007,0.009,0.066,0.01,0.024,0.443,0.002,0.002,0.003,0.772,0.0003,0.416,0.093,0.795,0.006,0.01,0.067,0.011,0.019,0.56,0.004,0.037,,43.8,0.9,4.8,0.12,2.6,,,62.7,1.0,3.8,0.09,2.7,
г683863<<8>,20.0,45.1833333,21.3333333,44.8666667,2.6238396,0.3752698,0.121623,0.145896,0.166165,0.0417967,1566.0,1593.0,7.8338782,13522.5,115.7,1.0,11.716,0.141,0.05,0.339,0.103,0.02,0.052807,0.195,0.223,0.213,4808.0,0.001,0.481,0.318,0.1,0.654,0.01,0.008,0.067,0.007,0.022,0.423,0.001,0.002,0.003,0.77,0.0002,0.413,0.098,0.785,0.008,0.009,0.068,0.008,0.015,0.564,0.003,0.038,,53.1,0.9,11.9,0.54,2.2,,,57.3,0.6,7.0,0.13,2.2,
г683863<<8?,24.0,41.7166667,24.0833333,41.7166667,2.7438473,0.336205,0.107919,0.10655,0.117197,0.0400792,1538.0,1605.0,7.4092689,13405.9515571,113.9,1.0,10.303,0.072,0.05,0.348,0.08,0.02,0.050637,0.136,0.163,0.189,5381.0,0.002,0.477,0.324,0.093,0.689,0.007,0.008,0.058,0.007,0.022,0.454,0.002,0.002,0.003,0.769,0.0002,0.414,0.091,0.785,0.007,0.009,0.058,0.008,0.016,0.573,0.004,0.038,,44.1,2.1,10.1,0.29,2.3,,,57.5,0.3,7.7,0.07,2.3,
г683863<<96,20.0,45.5333333,22.5333333,45.5333333,2.7952271,0.31808,0.107348,0.099586,0.119836,0.0408517,1555.0,1596.0,7.881918,13553.2544379,116.5000001,1.0,11.963,,0.05,0.326,0.054,0.0199999999999999,0.051613,0.143,0.152,0.188,5090.0,0.002,0.529,0.329,0.097,0.698,0.008,0.008,0.064,0.008,0.019,0.459,0.002,0.002,0.003,0.778,0.0003,0.419,0.098,0.792,0.007,0.011,0.064,0.01,0.016,0.573,0.004,0.038,,57.2,0.6,9.4,0.13,2.5,,,60.3,0.6,3.9,0.09,2.4,
г683863<<97,15.0,44.0333333,19.1833333,44.0333333,2.8647687,0.22471,0.103922,0.082488,0.096378,0.0397064,1569.0,1587.0,9.0708554,13937.0981755,111.7,1.0,13.314,0.059,0.05,0.212,0.065,0.02,0.050166,0.114,0.126,0.182,4456.0,0.002,0.559,0.328,0.122,0.706,0.009,0.011,0.083,0.009,0.022,0.472,0.002,0.002,0.003,0.776,0.0004,0.414,0.119,0.778,0.008,0.012,0.082,0.01,0.018,0.559,0.003,0.037,,51.2,0.5,8.0,0.09,2.5,,,57.3,1.0,4.8,0.08,2.4,
г683863<<98,13.0,47.5333333,21.4833333,47.5333333,3.0,0.352775,0.133043,0.180296,0.13341,0.042426,1570.0,1587.0,6.9873072,13972.6920093,118.0,1.0,11.071,,0.05,0.361,0.061,0.02,0.053602,0.13,0.278,0.233,5003.0,0.002,0.495,0.309,0.114,0.634,0.007,0.01,0.07,0.007,0.022,0.438,0.002,0.002,0.003,0.776,0.0007,0.415,0.114,0.789,0.006,0.011,0.07,0.009,0.021,0.561,0.003,0.038,,57.7,0.7,7.4,0.12,2.6,,,58.4,0.6,5.1,0.08,2.5,
г683863<<9:,20.0,45.3666667,20.9333333,45.3666667,2.8376754,0.46245,0.109632,0.172606,0.131962,0.041997,1577.0,1589.0,9.4139603,14127.7070064,116.4,1.0,14.236,0.096,0.05,0.501,0.067,0.02,0.05306,0.131,0.266,0.192,4929.0,0.002,0.419,0.329,0.13,0.634,0.01,0.01,0.087,0.009,0.025,0.434,0.002,0.002,0.003,0.768,0.0001,0.419,0.129,0.79,0.01,0.01,0.087,0.01,0.021,0.56,0.004,0.039,,52.0,0.6,9.2,0.13,2.3,,,56.2,0.5,7.9,0.1,2.5,
г683863<<9;,21.0,47.0333333,21.65,46.3666667,2.0,0.480095,0.144463,0.209188,0.171102,0.0421118,1577.0,1594.0,18.3917436,14186.6050808,117.4,1.0,28.216,0.116,0.05,0.515,0.082,0.02,0.053205,0.176,0.322,0.253,5119.0,0.002,0.413,0.301,0.126,0.601,0.009,0.011,0.085,0.008,0.028,0.414,0.002,0.002,0.003,0.769,0.0002,0.415,0.123,0.783,0.008,0.013,0.084,0.009,0.022,0.569,0.004,0.038,,54.9,1.3,11.5,0.11,2.5,,,52.8,0.5,8.1,0.1,2.6,
г683863<<9<,6.0,40.55,19.6833333,40.55,3.6730273,0.42571,0.13133,0.163324,0.11582,0.0402794,1570.0,1586.0,13.3723798,14451.8204911,112.7,1.0,18.075,0.226,0.05,0.452,0.108,0.02,0.05089,0.11,0.252,0.23,4741.0,0.003,0.433,0.308,0.113,0.635,0.008,0.011,0.073,0.01,0.028,0.477,0.003,0.002,0.003,0.768,0.0001,0.416,0.112,0.778,0.007,0.013,0.073,0.01,0.019,0.546,0.003,0.038,,53.4,0.5,9.2,0.14,2.5,,,48.1,0.8,8.7,0.13,2.5,
г683863<<9=,6.0,43.5166667,22.5,43.5166667,2.7843552,0.5187,0.156454,0.24659,0.159259,0.0430845,1574.0,1586.0,7.9445423,14410.6666667,119.5,1.0,11.524,0.14,0.05,0.559,0.075,0.02,0.054434,0.142,0.381,0.274,5404.0,0.001,0.406,0.292,0.119,0.575,0.007,0.01,0.071,0.007,0.028,0.412,0.002,0.002,0.003,0.76,0.0001,0.416,0.118,0.787,0.007,0.011,0.071,0.008,0.024,0.569,0.004,0.039,,45.8,1.3,7.8,0.16,2.3,,,55.2,0.9,6.1,0.11,2.1,
г683863<<9>,6.0,45.2166667,18.35,45.2166667,3.6611316,0.48166,0.139324,0.206426,0.191091,0.0422835,1596.0,1581.0,12.7021747,14488.2833787,117.3,1.0,19.145,0.249,0.05,0.518,0.072,0.02,0.053422,0.208,0.317,0.244,4431.0,0.001,0.412,0.306,0.108,0.604,0.008,0.012,0.07,0.009,0.029,0.407,0.001,0.002,0.003,0.76,0.0004,0.417,0.111,0.791,0.007,0.013,0.071,0.01,0.022,0.562,0.003,0.039,,51.6,1.3,13.5,0.48,2.1,,,55.4,0.8,7.0,0.12,2.1,
г683863<<9?,6.0,40.35,16.6666667,40.35,3.8049303,0.461765,0.142179,0.177968,0.173611,0.0411667,1591.0,1588.0,10.7776952,14097.6,115.4,1.0,14.496,0.153,0.05,0.494,0.047,0.02,0.052011,0.193,0.273,0.249,3916.0,0.001,0.421,0.302,0.096,0.626,0.008,0.011,0.062,0.009,0.027,0.422,0.001,0.002,0.003,0.765,0.0002,0.416,0.094,0.784,0.007,0.013,0.062,0.01,0.023,0.561,0.003,0.038,,52.1,0.8,10.5,0.22,2.1,,,50.6,0.7,10.5,0.23,2.2,
г683863<<:6,3.0,40.5666667,15.3333333,40.5666667,3.6398282,0.498075,0.149031,0.192482,0.1659,0.0418252,1594.0,1585.0,12.1417711,14212.173913,115.8,1.0,16.415,0.233,0.05,0.537,,0.02,0.052843,0.175,0.296,0.261,3632.0,0.001,0.41,0.295,0.11,0.614,0.008,0.011,0.07,0.009,0.028,0.406,0.001,0.002,0.003,0.761,0.0004,0.413,0.109,0.786,0.007,0.013,0.071,0.009,0.024,0.561,0.004,0.038,,49.2,2.4,12.3,0.46,1.9,,,57.6,0.6,6.8,0.14,2.2,
г683863<<:7,8.0,45.7333333,17.05,45.7333333,2.4588939,0.46406,0.123336,0.133054,0.132848,0.0396779,1611.0,1596.0,19.6156706,13576.5395894,111.8,1.0,29.903,0.25,0.05,0.502,0.083,0.02,0.05013,0.149,0.204,0.216,3858.0,0.002,0.406,0.315,0.104,0.662,0.007,0.01,0.07,0.01,0.026,0.463,0.001,0.003,0.003,0.775,0.0001,0.418,0.103,0.79,0.006,0.014,0.07,0.011,0.021,0.571,0.003,0.038,,53.7,0.6,11.3,0.19,2.1,,,57.2,0.6,6.5,0.12,2.1,
